11	5	Wie kann ich in den FAQ suchen?
21	5	How can I put entities readable to the FAQ?
7	5	Wie kann ich Formatierungen in den FAQ vornehmen?
2	1	Wie komme ich zurück zur Startseite?
17	5	Who can edit the FAQs?
1	1	Was ist das?
18	5	I've forgotten my password, what can I do now?
23	5	How can I search in the FAQ?
13	1	What is this?
6	5	Ich habe mein Paßwort (Passwort) vergessen, was nun?
3	1	Wo kann ich neue Fragen einbringen?
9	5	Wie kann ich in den FAQ Entities lesbar darstellen?
12	5	Was sind diese Hashtags, Label?
15	1	Where can I add new FAQ?
20	5	How can I use square brackets in the FAQ?
14	1	How do I get back to the starting page?
8	5	Wie kann ich eckige Klammern in die FAQ einbringen?
24	5	What are these hashtags, labels at all?
19	5	How ca I put format to the FAQ?
5	5	Wer kann die FAQ bearbeiten?
